quadri,exp
erosao serra espirito santo,Aprendizagem
nao da vontade sair,Evasao
forma erosao serra espirito,Aprendizagem
artesanato feito capim dourado,Entretenimento
trilha serra espirito santo,Entretenimento
nao pode deixe conhecer,Evasao
nao possivel entrar agua,Aprendizagem
cachoeira grande volume agua,Estetica
duna forma erosao serra,Aprendizagem
pessoa nao sabe nadar,Entretenimento
pra nao sabe nadar,Entretenimento
nao possivel tomar banho,Entretenimento
cachoeira linda agua cristalina,Estetica
nao quer ir embora,Evasao
rio agua potavel mundo,Aprendizagem
vale pena leve mascara,Entretenimento
serra espirito santo fundo,Estetica
ver por sol duna,Estetica
agua cristalina cor verde,Estetica
cachoeira linda agua transparente,Estetica
madrugada ver nascer sol,Estetica
nao da tomar banho,Aprendizagem
